date,value
2024-01-10,—
2024-01-11,—
2024-01-12,—
2024-01-13,—
2024-01-14,1200.0
2024-01-15,1000.0
2024-01-16,1000.0
2024-01-17,—
2024-01-18,1100.0
2024-01-19,1100.0
2024-01-20,1000.0
2024-01-21,1000.0
2024-01-22,1000.0
2024-01-23,1000.0
2024-01-24,1000.0
2024-01-25,1000.0
2024-01-26,—
2024-01-27,1100.0
2024-01-28,1000.0
2024-01-29,1000.0
2024-01-30,1000.0
2024-01-31,869.0
2024-02-01,719.0
2024-02-02,719.0
2024-02-03,719.0
2024-02-04,660.0
2024-02-05,660.0
2024-02-06,660.0
2024-02-07,660.0
2024-02-08,—
2024-02-09,—
2024-02-10,—
2024-02-11,—
2024-02-12,—
2024-02-13,—
2024-02-14,—
2024-02-15,660.0
2024-02-16,660.0
2024-02-17,660.0
2024-02-18,660.0
2024-02-19,660.0
2024-02-20,660.0
2024-02-21,660.0
2024-02-22,660.0
2024-02-23,660.0
2024-02-24,660.0
2024-02-25,660.0
2024-02-26,660.0
2024-02-27,660.0
2024-02-28,660.0
2024-02-29,569.0
2024-02-01,719.0
2024-02-02,719.0
2024-02-03,719.0
2024-02-04,660.0
2024-02-05,660.0
2024-02-06,660.0
2024-02-07,660.0
2024-02-08,—
2024-02-09,—
2024-02-10,—
2024-02-11,—
2024-02-12,—
2024-02-13,—
2024-02-14,—
2024-02-15,660.0
2024-02-16,660.0
2024-02-17,660.0
2024-02-18,660.0
2024-02-19,660.0
2024-02-20,660.0
2024-02-21,660.0
2024-02-22,660.0
2024-02-23,660.0
2024-02-24,660.0
2024-02-25,660.0
2024-02-26,660.0
2024-02-27,660.0
2024-02-28,660.0
2024-02-29,569.0
2024-03-01,—
2024-03-02,—
2024-03-03,479.0
2024-03-04,479.0
2024-03-05,479.0
2024-03-06,540.0
2024-03-07,599.0
2024-03-08,—
2024-03-09,—
2024-03-10,599.0
2024-03-11,479.0
2024-03-12,479.0
2024-03-13,479.0
2024-03-14,599.0
2024-03-15,—
2024-03-16,—
2024-03-17,540.0
2024-03-18,540.0
2024-03-19,540.0
2024-03-20,540.0
2024-03-21,540.0
2024-03-22,—
2024-03-23,—
2024-03-24,540.0
2024-03-25,540.0
2024-03-26,540.0
2024-03-27,540.0
2024-03-28,—
2024-03-29,—
2024-03-30,—
2024-03-31,—
2024-03-01,—
2024-03-02,—
2024-03-03,479.0
2024-03-04,479.0
2024-03-05,479.0
2024-03-06,540.0
2024-03-07,599.0
2024-03-08,—
2024-03-09,—
2024-03-10,599.0
2024-03-11,479.0
2024-03-12,479.0
2024-03-13,479.0
2024-03-14,599.0
2024-03-15,—
2024-03-16,—
2024-03-17,540.0
2024-03-18,540.0
2024-03-19,540.0
2024-03-20,540.0
2024-03-21,540.0
2024-03-22,—
2024-03-23,—
2024-03-24,540.0
2024-03-25,540.0
2024-03-26,540.0
2024-03-27,540.0
2024-03-28,—
2024-03-29,—
2024-03-30,—
2024-03-31,—
2024-04-01,359.0
2024-04-02,347.0
2024-04-03,347.0
2024-04-04,347.0
2024-04-05,—
2024-04-06,—
2024-04-07,359.0
2024-04-08,359.0
2024-04-09,359.0
2024-04-10,359.0
2024-04-11,504.0
2024-04-12,—
2024-04-13,—
2024-04-14,347.0
2024-04-15,347.0
2024-04-16,347.0
2024-04-17,347.0
2024-04-18,347.0
2024-04-19,—
2024-04-20,—
2024-04-21,359.0
2024-04-22,359.0
2024-04-23,359.0
2024-04-24,359.0
2024-04-25,359.0
2024-04-26,—
2024-04-27,—
2024-04-28,359.0
2024-04-29,347.0
2024-04-30,347.0
2024-04-01,359.0
2024-04-02,347.0
2024-04-03,347.0
2024-04-04,347.0
2024-04-05,—
2024-04-06,—
2024-04-07,359.0
2024-04-08,359.0
2024-04-09,359.0
2024-04-10,359.0
2024-04-11,504.0
2024-04-12,—
2024-04-13,—
2024-04-14,347.0
2024-04-15,347.0
2024-04-16,347.0
2024-04-17,347.0
2024-04-18,347.0
2024-04-19,—
2024-04-20,—
2024-04-21,359.0
2024-04-22,359.0
2024-04-23,359.0
2024-04-24,359.0
2024-04-25,359.0
2024-04-26,—
2024-04-27,—
2024-04-28,359.0
2024-04-29,347.0
2024-04-30,347.0
2024-05-01,347.0
2024-05-02,347.0
2024-05-03,—
2024-05-04,—
2024-05-05,359.0
2024-05-06,359.0
2024-05-07,347.0
2024-05-08,347.0
2024-05-09,347.0
2024-05-10,—
2024-05-11,—
2024-05-12,347.0
2024-05-13,359.0
2024-05-14,359.0
2024-05-15,359.0
2024-05-16,359.0
2024-05-17,—
2024-05-18,—
2024-05-19,347.0
2024-05-20,347.0
2024-05-21,347.0
2024-05-22,347.0
2024-05-23,347.0
2024-05-24,—
2024-05-25,—
2024-05-26,359.0
2024-05-27,359.0
2024-05-28,359.0
2024-05-29,359.0
2024-05-30,359.0
2024-05-31,—
2024-05-01,347.0
2024-05-02,347.0
2024-05-03,—
2024-05-04,—
2024-05-05,359.0
2024-05-06,359.0
2024-05-07,347.0
2024-05-08,347.0
2024-05-09,347.0
2024-05-10,—
2024-05-11,—
2024-05-12,347.0
2024-05-13,359.0
2024-05-14,359.0
2024-05-15,359.0
2024-05-16,359.0
2024-05-17,—
2024-05-18,—
2024-05-19,347.0
2024-05-20,347.0
2024-05-21,347.0
2024-05-22,347.0
2024-05-23,347.0
2024-05-24,—
2024-05-25,—
2024-05-26,359.0
2024-05-27,359.0
2024-05-28,359.0
2024-05-29,359.0
2024-05-30,359.0
2024-05-31,—
2024-06-01,—
2024-06-02,347.0
2024-06-03,347.0
2024-06-04,347.0
2024-06-05,347.0
2024-06-06,347.0
2024-06-07,—
2024-06-08,—
2024-06-09,347.0
2024-06-10,347.0
2024-06-11,347.0
2024-06-12,347.0
2024-06-13,347.0
2024-06-14,—
2024-06-15,—
2024-06-16,347.0
2024-06-17,347.0
2024-06-18,347.0
2024-06-19,347.0
2024-06-20,347.0
2024-06-21,—
2024-06-22,—
2024-06-23,359.0
2024-06-24,347.0
2024-06-25,347.0
2024-06-26,347.0
2024-06-27,347.0
2024-06-28,—
2024-06-29,—
2024-06-30,347.0
2024-06-01,—
2024-06-02,347.0
2024-06-03,347.0
2024-06-04,347.0
2024-06-05,347.0
2024-06-06,347.0
2024-06-07,—
2024-06-08,—
2024-06-09,347.0
2024-06-10,347.0
2024-06-11,347.0
2024-06-12,347.0
2024-06-13,347.0
2024-06-14,—
2024-06-15,—
2024-06-16,347.0
2024-06-17,347.0
2024-06-18,347.0
2024-06-19,347.0
2024-06-20,347.0
2024-06-21,—
2024-06-22,—
2024-06-23,359.0
2024-06-24,347.0
2024-06-25,347.0
2024-06-26,347.0
2024-06-27,347.0
2024-06-28,—
2024-06-29,—
2024-06-30,347.0
2024-07-01,683.0
2024-07-02,683.0
2024-07-03,683.0
2024-07-04,683.0
2024-07-05,683.0
2024-07-06,683.0
2024-07-07,683.0
2024-07-08,683.0
2024-07-01,683.0
2024-07-02,683.0
2024-07-03,683.0
2024-07-04,683.0
2024-07-05,683.0
2024-07-06,683.0
2024-07-07,683.0
2024-07-08,683.0
